German,Occidental
Nudel,nudle
Nougat,nugate
"1. Null, 0; 2. kein",null
in keiner Weise,in null maniere
"annullieren, ungültig machen",nullificar
"Nichtigkeit, Ungültigkeit",nullitá
Brachvogel,numenio
"Zahl-, numerisch",numeral
Zahlwort,numerale
zählen,numerar
numerisch,numeric
Zählung,numeration
Zähler,numerator
"Zahl, Anzahl",númere
"Ausgabe, Nummer",numeró
Notruf,numeró de urgentie
zahlreich,numerosi
nummerieren,numerotar
Perlhuhn,numide
"Münzkunde, Numismatik",numismatica
"Gesandter, Nuntius",nuncio
Hochzeits- hochzeitlich,nuptial
"heiraten, Hochzeit halten",nuptiar
Hochzeit,nuptie
Amme,nutressa
"nähren, ernähren",nutrir
Ernährung,nutrition
"nahrhaft, ernährend",nutritiv
Ernährer,nutritor
Nahrung,nutritura
oder,o
entweder ... oder,o ... o
Oase,oase
gehorsam,obedient
Obelisk,obelisco
Gehorsam,obiedentie
gehorchen,obedir
fettleibig,obesi
Fettleibigkeit,obesitá
Objekt,objecte
"einwenden, einwerfen",objecter
"Einwurf, Einwand",objection
objektiv,objectiv
Objektivität,objectivitá
Objektiv (Kamera),objective
Oblate,oblate
"Pflicht, Aufgabe",obliga
verpflichten,obligar
Verpflichtung,obligation
verpflichtend,obligativ
"verpflichtend, obligatorisch",obligatori
"schief, schräg, indirekt",obliqui
Schräge,obliquitá
"verwischen, (Briefmarken) entwerten, auslöschen",obliterar
vergesslich,obliviaci
vergessen,obliviar
Vergessen,oblivie
vergesslich,obliviosi
länglich,oblong
"Obolus, Scherflein",obol
"obszön, unflätig, anstößig",obscen
Obszönität,obscenitá
"dunkel, finster",obscur
"verdunkeln, abdunkeln",obscurar
Dunkelheit,obscuritá
belästigen,obseder
Besessenheit,obsession
beobachten,observar
Beobachtung,observation
Beobachtung,observator
Observatorium,observatoria
"hinfällig, obsolet",obsolet
Hindernis,obstacul
"widerspenstig, halsstarrig",obstinaci
"halsstarrig werden, hartnäckig auf etwas bestehen, sich widersetzen",obstinar (se)
"widerspenstig, halsstarrig",obstinat
"Halsstarrigkeit, Widerspenstigkeit",obstination
"verstopfen, versperren",obstructer
"Obstruktion, Behinderung, Blockierung",obstruction
"erhalten, erlangen",obtener
erhältlich,obtenibil
aufzwingen,obtruder
Aufzwingen,obtrusion
"aufzwingend, aufdrängend",obtrusiv
"verstopfen, zustopfen (mit einem Stöpsel)",obturar
"Zustopfen, Verstopfen",obturation
Verschluss,obturator
abstumpfen,obtuser
"stumpf, abgestumpft, dumpf, dumm",obtusi
Dämpfung,obtusion
Gelegenheit,ocasion
bei Gelegenheit,per ocasion
gelegentlich,ocasional
"westlich, abendländisch",occidental
"Westen, Abendland",occidente
Ozean,ocean(e)
Ozeanien,Oceania
ozeanisch,oceanian
"ozeanisch, Ozean-",oceanic
"Muße, Freizeit",ocie
müßig,ociosi
Ocker (Farbe),ocre
Achteck,octagon
achteckig,octagonal
Oktave,octave
Oktober,octobre
Achteck,octogon
"Oktopus, Tintenfisch",octopus
"verleihen, bewilligen, auferlegen",octroyar
Auge,ocul
"ein Auge werfen auf, liebäugeln",ocular
Augen-,oculari
Brille,oculares
Sonnenbrille,oculares de sole
Augenarzt,oculist
augenärztlich,oculistic
"geheim, okkult",ocult
"verbergen, verstecken",ocultar
Versteck,ocultuore
Brille,oculvitres
"beschäftigen, besetzen",ocupar
"belegt, beschäftigt, besetzt",ocupat
"Beschäftigung, Besetzung",ocupation
"ereignen, geschehen, vorfallen",ocurrer
"Ereignis, Begebenheit, Geschehen",ocurrentie
Ode,ode
hassen,odiar
Hass,odie
voller Hass,odiosi
duftend,odorant
riechen,odorar
"Duft, Geruch",odore
"beleidigen, verstoßen gegen",ofender
"Beleidigung, Verstoß",ofense
"beleidigend, offensiv",ofensiv
Angebot,oferta
anbieten,ofertar
Abseits,offside
Offizier,oficero
Büro,oficia
offiziell,oficial
Beamter,oficiario
"Amt, Funktion",oficie
Werkstatt,oficina
offiziös,oficiosi
"spitzbogenartig, gotisch (Architektur)",ogival
Spitzbogen,ogive
"Menschenfresser, Oger, Vielfraß",ogre
"Menschenfresserin, weiblicher Oger",ogressa
alt,old
Alter,oldesse
Alter,olditá
Greis,oldon
Oleander,oleandre
"ölen, einölen",olear
"Öl-, ölig",oleari
Ölstoff,oleine
Öl,oleo
Ölgemälde,oleo-pictura
"ölig, ölverschmiert",oleosi
Oligarch,oligarch
oligarchisch,oligarchic
Olympiade,olimpiade
Olympische Spiele,olimpic ludes
Olive,olive
Olivenbaum,oliviero
"Schatten werfen, Schaffen geben",ombrar
Schatten,ombre
Sonnenschirm,ombrel
schattig,ombrosi
Omlett,omelette
Omen,ómine
ominös,ominosi
"weglassen, übersehen, vergessen, auslassen",omisser
"Weglassung, Auslassung",omission
all,omni
überall,in omni loc
"weglassen, übersehen",omisser
"Omnibus, Bus",omnibus
alles,omnicos
"alltäglich, täglich",omnidial
allseitig,omnilateral
"überall, an aller Orten",omniloc
allmächtig,omnipotent
"Allmacht, Allmächtigkeit",omnipotentie
"allgegenwärtig, omnipräsent",omnipresent
allwissend,omnisavent
alles fressend (zoologisch),omnivori
man (unpersönlich),on
"Onanie, Selbstbefriedigung",onanie
Onkel,oncle
Onyx,onix
"undurchsichtig, dicht",opac
Undurchsichtigkeit,opacitá
Opal,opale
Oper,ópera
"operieren, bewirken, hervorbringe, bewerkstelligen",operar
Operation,operation
operativ,operativ
Operateur,operator
Operette,operette
Opiat,opiate
meinen,opiner
"halsstarrig, ausdauernd",opiniatri
Meinung,opinion
Opium,opium
"Gegner, Opponent",oponente
"gegen etwas antreten, opponieren, sich in den Weg stellen",oponer
"gelegen, angebracht, opportun",oportun
"Gelegenheit, Opportunität",oportunitá
"sich widersetzen, gegenüberstellen, gegenübersetzen",oposir
"Opposition, Widerstand",oposition
Opossum,opssum
"unterdrücken, bedrücken",opresser
Unterdrückung,opression
Unterdrücker,opressor
"wählen, frei entscheiden, optieren",optar
Optativ (gram.),optative
optisch,optic
Optiker,optico
am besten,optim
Optimismus,optimisme
Optimist,optimist
optimistisch,optimistic
"opulent, sehr reichlich",opulent
großer Reichtum,opulentie
nun aber,or
Orakel,ocacul
"orakelhaft, rätselhaft",oraculari
mündlich,oral
"Orange, Apfelsine",orange
orange,orangi
Orangenbaum,orangiero
Orang Utan,orangutan
Rede,oration
Redner,orator
"Orbit, Umlaufbahn, Augenhöhle",órbite
Orchester,orchestre
Orchidee,orchidé
Gottesurteil,ordalie
"Orden, religiöse Gemeinschaft",órden
Ordnungszahl,ordinale
ordnen,ordinar
gewöhnlich,ordinari
"Ordnung, Reihenfolge",órdine
in Ordnung,in órdine
"Befehl, Geheiß",ordon
Ordonanz,orondantie
anordnen,ordonar
Ohr,orel
Mumps (Krankheit),orelion
Ohrenarzt,orelist
Waise,orfan
Waisen-,orfani
Orgel,organ
Organ,organe
organisch,organic
"Organist, Orgelspieler",organist
organisieren,organisar
Organisation,organisation
Organisator,organisator
organisatorisch,organisatori
Organismus,organisme
Orgie,orgie
orgiastisch,orgiastic
sich etwas rühmen,orgolliar (se pri)
"Hochmut, Stolz, Dünkel",orgollie
"hochmütig, stolz",orgolliosi
orientalisch,oriental
Orientalist,orientalist
orientieren,orientar
"Osten, Orient",oriente
"original, ursprünglich",original
Original,originale
Originalität,originalitá
entstammen,originar
"Ursprung, Herkunft",orígine
"umsäumen, einfassen",orlar
Saum,orle
"Verzierung, Ornament",ornament
"schmücken, ausschmücken",ornar
"Ornat, Ordenstracht",ornate
Ornithologe,ornitolog
Ornithologie,ornitologie
orthodox,ortodox
Orthodoxie,ortodoxie
"Ortographie, Rechtschreibung",ortografie
Orthopädie,ortopedie
"schwingen, schwanken",oscillar
"Schwingung, Schwankung",oscillation
Knochengerüst,ossage
Knochen,osse
Würfelspiel,ossette
verknöchern,ossificar
aus Knochen,ossin
knochig,ossosi
Osten,ost
Geisel,ostage
"zur Schau stellen, gross tun",ostentar
Zurschaustellung,ostentation
ostentativ,ostentativ
Auster,ostre
Mittelohrentzündung,otite
Ottomane,otomane
"acht, 8",ott
"achtzig, 80",ottant
achtzigster,ottantesim
"neunundachtzig, 89",ottantnin
achter,ottesim
oval,oval
Eierstock,ovarium
"Ovation, stürmischer Beifall",ovation
"Ei, Eizelle",ove
Ouvertüre,overtura
Werk,ovre
Handarbeit,ovre manual
Werkstatt,ovrería
"Werktätiger, Arbeiter",ovrero
Eigelb,ov-yelbe
Sauerampfer,oxale
Oxid,oxid
"rosten, oxidieren",oxidar
Oxidation,oxidation
Sauerstoff,oxigen
Ozon,ozon
Packpaper,pacc-papere
Paket; Bündel,pacca
Bündel,paccage
packen,paccar
Frieden,pace
Pascha,pachá
Pazifik,Pacific (Ocean)
friedlich,pacific
befrieden,pacificar
Pazifismus,pacifisme
Pazifist,pacifist
Pakt,pacte
paddeln,paddlar
"Paddel, Ruder",paddle
"Pfanne, Tiegel",padelle
heidnisch,pagan
Heidentum,paganisme
Heide,pagano
schaufelartiges Ruder,pagaye
Page,page
Seiten-,paginal
paginieren,paginar
Seite,págine
Pagode,págode
Land,país
Landschaft,paisage
"Bauer, Landbewohner",paisan
"Pfahl, Pfosten",pal
Palast,palace
Paladin,paladino
"Gaumen-, palatal",palatal
Gaumenlaute,palatale
(weicher) Gaumen,pálate
Palästina,Palestina
palästinensisch,palestines
"Mantel, Überzieher",paletó
Zaunpfahl,paliss
Zaun,palissade
einzäunen,palissar
Schaufel,pall
schaufeln,pallar
bleich sein,paller
Strohballen,palliage
"(ein Übel) vorübergehend heilen, abschwächen. mildern",palliar
"palliativ, mildernd, abschwächend",palliativ
"blass, bleich",pallid
Bleichheit,palliditá
Stroh,pallie
Blässe,pallore
Palmsonntag,palm-soledí
"1.Palme; 2. Handfläche, Handteller",palme
Palmenbaum,palmiero
"spürbar, offensichtlich",palpabil
"tasten, befühlen, betasten",palpar
"Befühlen, Tasten",palpation
"pochen (Herz), (krankhaft) zucken",palpitar
Herzrhythmusstörung,palpitation
Sumpf,palude
sumpfig,paludosi
Pampas,pampa
Pamphlet,pamflette
"Allheilmittel, Universalmittel",panacé
"Helm-, Federbusch",panache
Panama,Panamá
panamaisch,panames
Bauchspeicheldrüse,páncreas
Brot,pane
Weißbrot,pane blanc
Toast,pane rostat
Wandfliese,panel
Bäckerei,panería
Bäcker,panero
"Brötchen, Semmel",panette
Panik,panica
panisch,panical
backen,panificar
Bäcker,panificator
Täfelung,pannel
"Panorama, Rundblick",panorama
"Wanst, Pansen",panse
Hose,pantalon
Pantheismus,panteisme
Pantheon,panteon
Panther,pantere
Pantomime,pantomine
Pantoffel,pantuffle
Papst,papa
"Papa, Vati",papá
Papagei,papagaye
päpstlich,papal
Papsttum,papatu
Mohn,papavre
Papierkorb,paper-corb
Pappmaché,paper-maché
"Papierkram, Papiermüll",paperallia
Papier,papere
"Papier-, aus Papier",paperin
Schreibwarenhandlung,paperie
Schreibwarenhändler,papero
Schmetterling,papilion
Papismus,papisme
"Papist, Anhänger des Papstes",papist
Paprika,paprica
Papyrus,papyre
Paket,paquette
Moskitonetz,para-mosquite
"Parabel, Gleichnis",parábol
Parabel (mathematisch),parabola
Fallschirm,paracade
Paradies,paradise
paradiesisch,paradisic
Paradox,paradox
"paraphieren, unterschreiben",parafar
"Paraphe, Schnörkel, abgekürzter Namenszug/Unterschrift",parafe
"Paragraph, Absatz",paragraf
Paraguay,Paraguay
paraguayisch,paraguayan
paralell,paralel
Barren (beim Kunstturnen),paralel barres
Parallelogramm,parelelogramm
Pfalz,Palatinat
lähmen,paralisar
gelähmt,paralisat
"Lähmung, Paralyse",paralise
lähmend,paralitic
"Brustwehr, Geländer",parapete
Regenschirm,parapluvie
Sonnenschirm,para-sole
"Parade, Abwehrstoß",parada
"Parade (Militär, Aufzug)",parade
paraphrasieren,parafrasar
Paraphrase,parafrase
"parieren, abwehren",parar
"Parasit, Schädling",parasite
Windschutz,paravente
Park,parc
parken,parcar
"Vergebung, Entschuldigung",pardon
entschuldbar,pardonabil
"vergeben, entschuldigen",pardonar
Paar,pare
herabstürzen,parecipitar
verwandt,parent
Verwandter/Verwandte,parente
Klammer (Interpunktionszeichen),parentese
Verwandschaft,parentitá
Verwandschaft,parentité
"Wand (Scheide-, Seiten-)",parete
"gleich, gerade (Zahl)",pari
"Paria, Ausgestoßener",paria
"Gleichheit, Parität",paritá
Parfüm,parfúm
parfümieren,parfumar
Parfümerie,parfumeríe
Parlament,parlament
parlamentarisch,parlamentari
"Parlamentarier, Parlamentsabgeordneter",parlamentario
sprechen,parlar
"Sprecher, Redner",parlator
Wohnzimmer,parlatoria
Pfarrei,parocia
Pfarr-,parocial
Pfarrer,paroco
parodieren,parodiar
Parodie,parodie
Parodist,parodist
Wort,parol
Anfall,paroxisme
Parkett (getäfelter Fußboden),parquett
Parkett (Theater),parquete
"Knauserei, Knickerigkeit",parsimonie
"knauserig, knickerig",parsimoniosi
Teil,parte
"Teil-, partiell",partial
Parteilichkeit,partialitá
Vatermord,patricidie
Teilnehmer,participante
teilnehmen,participar
Partizip (Grammatik),participe
"Teilnahme, Teilhabe",participation
"Teilchen, Partikel",particul
besonderer,particulari
"Besonderheit, Eigenart",particularitá
"teilnehmen, sich beteiligen",partiprender
"Teilnahme, Beteiligung",partiprense
teilen,partir
"Parteigänger, Partisan",partisan
Teilung,partition
"Partei-, parteilich",partisan
Partei,partise
"Partner, Teilhaber, Mitspieler",partnero
überall,partú
gebären,parturir
"Gebärvorgang, Geburt",parturition
Emporkömmling,parvenú
Ostern,Pasca
österlich,pascal
"Litze, geflochtenes Haar, Kordel",pasment
"kordeln, flechten",pasmentar
Übergang,pass
Zeitvertreib,passa-témpor
Passagier,passagero
Passwort; Losung,pass(a)-parol
"passabel, mittelmäßig, passierbar",passabil
"Passage, Durchgang, Korridor",passage
Passant,passante
"vorbeigehen, verbringen, durchreisen",passar
die Nacht verbringen,passar li nocte
eine Prüfung bestehen,passar un exámine
"letzter, vergangener",passat
Vergangenheit; Passatwind,passate
Leidenschaft,passion
"Passion, Leiden Christi",Passione
leidenschaftlich,passionat
passiv,passiv
Passiv (gram.),passive
Reisepass,passport
Schritt,passu
einen Schritt machen,passuar
"Nudel, Teig",pasta
"grasen, weiden",paster
Schafhirte,pastero
Pastete,pastete
Pastille,pastille
Pastinake,pastinaca
"Pastor, Hirte",pastor
pastoral,pastoral
Weide,pastura
"grasen, weiden",pasturar
Patagonien,Patagonia
patagonisch,patagones
Kleiderhaken,patere
Vaterunser,paternostre
"pathetisch, erhaben, nachdrücklich",patetic
patentieren,patentar
Patent,patente
Patentinhaber,patentario
Galgen,patibul
Patient,patiente
geduldig,patient(osi)
Geduld,patientie
"Schlittschuhlaufen, Eislaufen",patinage
Eisschnellaufen,patinage a rapiditá
Eiskunstlaufen,patinage artistic
"Schlittschuhläufer, Eisläufer",patinator
"Eisring, Schlittschuhbahn",patinatoria
Schlittschuh,patine
Eisbahn,patinería
leiden,patir
Pathologie,patologie
Pathologe,patologo
Vater,patre
"Vaterland, Heimat",patria
Patriarch,patriarch
patriarchalisch,patriarchal
Patrizier,patricio
(elterliches) Erbteil,patrimonie
väterlich,patrin
Patin,patrina
Pate,patrino
Patriot,patriot
patriotisch,patriotic
Patriotismus,patriotisme
"Patron, Meister, Schutzherr, Arbeitgeber",patron
"Patronin, Schutzherrin",patrona
"Patronage, Schutzherrschaft",patronage
"Patronat, Schutzherrschaft",patronatu
"freundschaftlich beschützen, behüten",patronisar
Pfad,pat-via
Pfote,patte
pausieren,pausar
Pause,pause
"Straßenpflaster, Fahrbahn",pavament
pflastern,pavar
Pflaster,pavatura
Pflaster,pave
Pavian,paviane
"Pavillon, Gartenhaus",pavillion
Pfau,pavon
sich spreizen,pavonar
"Bezahlung, Zahlung",payament
ausstehend zu bezahlen,payant
"zahlen, bezahlen",payar
"abzahlen, in Raten zahlen",payar a conto
Sünde,pecca
"Jugendsünde, kleine Sünde",peccadillo
sündigen,peccar
Sünder,peccator
Pech,pech
kämmen,pectinar
Kamm,péctine
Brust,péctor
Brust-,péctoral
"Geld-, pekuniär",pecuniari
Geld,pecunie
pädagogisch,pedagogic
Pädagogik,pedagogica
Pädagoge,pedagogo
Pedale,pedale
Weg,ped-via
Pedant,pedante
Pedanterie,pedanteríe
"pedantisch, übertrieben genau",pedantic
Fuß,pede
zu Fuß,a pedes
"Fußgestell, Sockel",pedestale
Laus,pedicul
Fußgänger,pedon
"schlechter, schlimmer",pejor
"verschlechtern, verschlimmern",pejorar
"abwertend, pejorativ",pejorativ
Pejorativ,pejorative
Pelikan,pelican
peilen,pelingar
Peilung,pelingation
"1. Haut, 2. Schale",pelle
Pelz,pelisse
Pelzhandlung,pelissería
Durcheinander,pelmel
Knäuel,pelote
Rotte (militärisch),peloton
Becken,pelve
"Mühe, Sorge, Kummer, Strafe",pena
strafbar,penal
sich bemühen,penar
hängen,pender
Pendel,pendul
pendeln,pendular
Galgen,penduore
"durchdringen, penetrieren",penetrar
"Durchdringen, Penetrierung",penetration
Penizillin,penicilline
Halbinsel,peninsul
Penis,pénis
"reumütig, bußfertig",penitent
Buße,penitentie
"büßen, Buße tun",peniter
Penny,pennie
Halbdunkel,penombre
mühsam,penosi
Gedanke,pensa
"Denken, Gedanke",pensada
denken,pensar
Denker,pensator
Rente,pension
"pensionieren, in Rente gehen",pensionar
Rentner,pensionario
Rentner,pensionero
"Fünfeck, Pentagon",pentagon
Pentagramm,pentagramma
Pfingst-,pentecostal
Pfingsten,Pentecost(e)
vorletzter,penultim
Pfingstrose,peonie
"durch (Mittel), von, mittels",per
"indem, dadurch",per que
Prozent,percent
Prozentanteil,percentage
wahrnehmen,percepter
Wahrnehmung,perception
wahrnehmbar,perceptiv
gar,percocinat
durchlaufen,percurrer
"klopfen, beklopfen (med.)",percusser
"Erschütterung, Schlag",percussion
Verlust,perde
verlieren,perdir
"Verlust, Verlieren",perdition
Rebhuhn,perdrice
zu Ende führen,perducter
"andauern, währen",perdurar
Pilgerfahrt,peregrinage
pilgern,peregrinar
Pilgern,peregrination
"Pilger, Wallfahrer",peregrino
"mehrjährig, beständig",perenni
"vollkommen, perfekt",perfect
"vervollkommnen, perfektionieren",perfecter
"Perfektion, Vervollkommnung",perfection
perfektionieren,perfectionar
"treulos, falsch, hinterlistig",perfid
"Verrat, Hinterlist",perfidie
Hinterlistigkeit,perfiditá
zu Ende bringen,perfinir
durchlöchern,perforar
Perforation,perforation
Locher,perforator
"Durchführung, Vorstellung",performantie
vollbringen,performar
Pergament,pergamen
Laube,pergola
"Umkreis, Umfang, Peripherie",periferie
umschreiben,perifrasar
Umschreibung,perifrase
Periode,periode
periodisch,periodic
"plötzlicher Umschwung, unerwartetes Ereignis",peripetie
Umschiffung,periple
"umkommen, zugrunde gehen, enden",perir
Periskop,periscope
"Umkommen, Zugrundegehen",perition
Bauchfell,periton
Bauchfellentzündung,peritonite
einen Meineid ablegen,perjuriar
Meineid,perjurie
meineidig,perjuriosi
Perle,perle
Perlmuttter,perlematre
"durchleuchten, rekognoszieren",perlustrar
"Durchleuchtung, Rekognoszenz",perlustration
"andauernd, permanent",permanent
"Fortdauer, Permanenz",permanentie
fortdauern,permaner
durchlässig,permeabil
Durchlässigkeit,permeabilitá
durchlässig sein,permear
erlauben,permisser
gestatten Sie mir,permisse me
Erlaubnis,permission
"vertauschen, umstellen",permutar
"Vertauschung, Permutation",permutation
Verderb,pernicie
"verderblich, schädlich",perniciosi
übernachten,pernoctar
Übernachtung,pernoctation
breit und hochtrabend reden,perorar
Schluss einer Rede,peroration
Peroxid,peroxide
senkrecht,perpendiculari
Senkrechte,perpendicularitá
"ewig andauern, aufrechterhalten",perpetuar
"fortwährend, ewig",perpetui
"unschlüssig, verlegen, ratlos",perplex
"Unschlüssigkeit, Verlegenheit, Ratlosigkeit",perplexitá
(gerichtlich) durchsuchen,perquisiter
richterliche Durchsuchung,perquisition
persisch,persan
"(grausam) verfolgen, jemandem zusetzen, belästigen",persecuter
Verfolgung,persecution
Verfolger,persecutor
"nachsetzen, verfolgen, nachlaufen",persequer
standhaft,perseverant
"Beharren, Standhalten",perseverantie
"aushalten, standhaft bleiben, beharren",perseverar
Persien,Persia
"Fensterladen, Jalousie",persiane
Pfirsich,persic
Pfirsichbaum,persiciero
"verspotten, verhöhnen",persiflar
Persiflage,persiflage
beharrlich,persistent
Beharrlichkeit,persistentie
"bestehen auf, verharren bei",persister
Person,person
persönlich,personal
Personal,personale
Persönlichkeit,personalitá
personifizieren,personificar
"Aussicht, Perspektive",perspective
scharfsinnig,perspicaci
Scharfsinn,perspicacitá
"überreden, überzeugen",persuader
"Überzeugung, Überredung",persuasion
überzeugend,persuasiv
betreffen,pertiner
"passend, bestimmt, bezogen",pertinent
Bezug,pertinentie
stören,perturbar
Störung,perturbation
"Störer, Störenfried",perturbator
Peru,Perú
peruanisch,peruan
Perücke,peruque
Perückenmacher,peruquero
"abnutzen, abnützen",perusar
Abnutzung,perusation
gelangen,pervenir
"pervers, abartig",perversi
Perversität,perversitá
pervertieren,perverter
Perverser,perverteto
"durchleben, erleben",perviver
"Erlebnis, Durchleben",perviventie
Gewicht,pesa
schwer (an Gewicht),pesant
wiegen,pesar
"am schlechtesten, am schlimmsten",pessim
Pessimismus,pessimisme
"Pessimist, Schwarzseher",pessimist
pessimistisch,pessimistic
Pest,peste
(Pest-) Gestank,pestilentie
"Blütenblatt, Blumenblatt",petale
sprengen,petardar
"Sprengbüchse (artill.), Frosch (pirot.)",petarde
bitten,petir
Bitten,petida
"Bitte, Petition",petition
Bittsteller,petitionario
Stein (Material),petre
Sturmvogel,petrel
Steinhauer,petrero
Steinbruch,petriera
versteinern,petrificar
Versteinerung,petrification
"steinern, aus Stein",petrin
Petersilie,petrosel
steinig,petrosi
Erdöl,petroleo
"unbändig, ungestüm",petulant
"Ungestüm, Unbändigkeit",petulantie
Petunie,petunie
Stück,pezze
Theaterstück,pezze de teatre
abbröckeln,pezzettar
"Gestampfe, Stampfen (von Pferden)",piaffada
stampfen (von Pferden),piaffar
leise,piani
pianissimo,pianissim
"Pianist, Klavierspieler",pianist
Klavier,piano
Spitze,pic
Pike,pic-arme
Stich,pica
pikant,picant
"stechen, piksen",picar
"Einstich, Stich",picatura
Picknick,picnic
Specht,pico
beschmieren,pictachar
malen,picter
Maler,pictero
Maler,pictor
Gemälde,pictura
malerisch,picturesc
fromm,pie
Piemont,Piemonte
piemontesisch,piemontes
Frömmigkeit,pietá
Pietismus,pietisme
"Pigment, Farbstoff (der Haut, Haare usw.)",pigment
pigmentieren,pigmentar
Pigmentierung,pigmentation
Pygmäe,pigméo
Faulheit,pigresse
"faul, arbeitsscheu",pigri
Faulheit,pigritá
Schlafanzug,pijama
Pille,pillul
"Pfeiler, Stütze",pilare
Wandpfeiler,pilastre
"Haufen, Stoß, elektrische Batterie",pile
Plünderung,pilliage
plündern,pilliar
Plünderer,pilliard
Plünderer,pilliator
"Lichtmast, Turmpfeiler",pilon(e)
an den Pranger stellen,piloriar
Pranger,pilorie
Pilot,pilot
steuern,pilotar
Gewürz,piment
Zinne,pinacul
"Zange, Klemme",pince
"klemmen, kneifen",pincear
Pinzette,pincette
"Kiefer, Föhre",pine
nähen,pinglar
Stecknadel,pingle
Nadelkissen,pingle-cussine
Pinguin,pinguine
Triebrad,pinion
Flosse,pinne
Pinsel,pinsel
pinseln,pinselar
Fink,pinson
Schoppen,pinte
hacken,piochar
"Pickel, Spitzhacke",pioche
"Bauer (Schachfigur), Stein (bei Brettspielen)",pion
Pionier,pionero
Pfeife,pip
"Pipette, Saugeglas (Chemie)",pipettte
Gepiepse,pipiada
piepsen,pipiar
eine Prise Pfeffer,piprade
pfeffern,piprar
Pfeffer,pipre
Pfefferminz,pipremint
Pyramiden-,piramidal
Pyramide,piramide
Pirat,pirat
Piraterie,piraterie
piratisch,piratic
Birne,pire
Birnbaum,piriero
Pyrenäen,Pirenées
"Pyrit, Schwefel-, Eisenkies",pirite
Feuer-. Piro-,piro-
"Pirotechnik, Feuerwerk",piro-tecnica
eine Pirouette drehen,piruettar
"Pirouette, (Halb- oder Ganzkreis) Drehung",piruette
Fisch,pisc
Goldfisch,pisc aurin
Angel,pisca-croc
Angelschnur,pisc-fill
angeln,piscar
Fischer,piscator
Fischteich,pisciera
Schwimmbad,piscine
Erbse,pise
"pinkeln, urinieren",pissar
"Urinal, Pissoir",pissuore
Pistazie,pistache
Pistazienbaum,pistachiero
"zerstoßen, zermalmen",pistar
Rennstrecke,piste
"Meißel, Stößel",pistel
meißeln,pistelar
Stempel (botanisch),pistille
Pistole,pistol
"Kolben, Klapphorn (musik.)",piston
Python,piton
"Zapfen, Angelpunkt (fig.), Türangel",pivot
plakatieren,placatar
Plakat,placate
Platte,placca
"Plazenta, Nachgeburt",placenta
"still, sanft",placid
"Stille, Sanftheit",placiditá
Decke (Zimmer),plafon
Strand,plage
"plagiatieren, fälschend nachahmen",plagiar
Plagiat,plagiate
Plagiator,plagiator
Plan,plan
Stadtplan,plan de cité
Fußboden,planc-suol
Brett,planca
Fensterbrett,plance de fenestre
Planeten-,planetari
Planetarium,planetarium
Planet,planete
"eben, platt",plani
"Plantage, Pflanzung",plantage
Wegerich,plantago
pflanzen,plantar
Pflanzung,plantation
Pflanzer,plantator
Pflanze,plante
Ebene,planura
"Plakette, Abzeichen",plaquette
Plasma,plasma
aus Plastik,plastic
Plastik,plastica
Pflaster (medizinisch),plastre
"platt, eben",plat
Scholle,plat-pisc
"Plattheit, Flachheit",platitá
Gang,plate
"Bahnsteig, Plattform",platform
Teller,platil
Platin,platine
"Hochebene, Plateau",plató
platonisch,platonic
"plausibel, annehmbar, wahrscheinlich",plausibil
Platz (in einer Stadt),plazza
Parkplatz,plazza de stationament
Platzierung,plazzament
platzieren,plazzar
plebejisch,plebeyan
Plebejer,plebeyo
"Volksabstimmung, Referendum, Plebiszit",plebiscite
Geflecht,plectage
"flechten, winden",plecter
"Geflecht, Zopf",plectura
Plädoyer,plenda
"plädieren (bei Gericht), für etwas einstehen",pledar
voll,plen
füllen,plenar
"Voll-, Plenar-",plenari
"Klage, Beschwerde",plende
klagen,plendir
sich beschweren,plendir se
Kläger (vor Gericht),plenditor
bevollmächtigt,plenipotentiari
Bevollmächtigter,plenipotentiario
Fülle,plenitá
"bitte (Aufforderung), gefälligst",ples
bitte geben Sie mir,ples dar me
bitte einzutreten,ples intrar
bitte nehmen Sie Platz!,ples sedentar vos!
"freundlich, angenehm, sympathisch",plesent
Gefallen,plensentie
gefallen,pleser
Vergnügen,plesura
"gerne, mit Vergnügen",con plesura
Brustfell,pleura
Brustfellentzündung,pleurite
Flunder,pleuronecte
Spreu,pleve
Falte,plica
falten,plicar
Tauchen,plongea
Tauchen,plongeada
"eintauchen, untertauchen, tauchen",plongear
Taucher,plongero
Weinen,plorada
weinen,plorar
mehr,plu
je (mehr) ... desto (mehr),plu ... plu
"rupfen, putzen, auszupfen, verlesen",pluccar
Rupfen,pluccation
Plüsch,pluche
Pflug,plug
pflügen,plugar
Pflüger,plugator
Feder,plum
Gefieder,plumage
gefiedert,plumat
Blei,plumbe
Klempner,plumbero
"gefiedert, voller Federn",plumosi
Mehrzahl,pluparte
Plusquamperfekt,pluperfecte
Plural,plurale
Pluralität,pluralitá
mehrere,pluri
plus,plus
"Plutokrat, Ausbeuten",plutocrat
regnen,pluviar
Regen,pluvie
regnerisch,pluviosi
"pneumatisch, Druckluft-",pneumatic
Reifen,pneumatico
Lungenentzündung,pneumonie
wenig,poc
"ein bisschen, etwas",un poc
"allmählich, nach und nach",poc a poc
Bürgermeister,podest
Gedicht,poema
Poesie,poesie
Dichter,poete
Dichterin,poetessa
"Poetik, Dichtkunst",poetica
poetisieren,poetisar
