English,Gothic
just (adv.),"1. (only) þatainei 2. ~ now = nu 3. (simply) ainfalþaba 4. ~ as = swaswe, swe"
"justify, to",(ga)sunjon (II weak)
"keep, to",bairgan (III abl) + dat (as in to keep something)
key,*lukils (m. A)
keyboard,*bokabaurd (n. A) (computer)
"kill, to",afslahan (VI)
king,þiudans (m. A)
kingdom,þiudinassus (m. U)
kinsman (n.),1. niþjis 2. *samakunja (declined as adj. I)
kiss,frijons (f. I)
"kiss, to",kukjan (I) + dat
kiwi,1. *kiwi (n. Ja) 2. *keiwei (f. N)
knee,kniu (n. Wa)
kneeling,*knussus (m. U)
knife,1. *kneifs (m. A) 2. *kneiba (m. N) 3. *sahs (n. A)
"knock, to",*knukon (II weak)
"know, to",kunnan (prt-prs)
knowledge,kunþi (n. Ja)
labour,arbaiþs (f. I)
"labour, to (v.)",arbaidjan (I weak j)
lack,1. gaidw (n. A) 2. waninassus (m. U)
"laugh, to",~ at = bihlahjan (VI)
lake,marisaiws (m. Noun)
lamb,1. lamb (n. A) 2. wiþrus (m. U) (only one occurence) 3. *lambamimz (noun) (To eat as flesh)
lame,halts (adj. A)
"lament, to",1. qainon (II weak) 2. gaunon (II weak)
land,"land (n. A), ancestral ~ = *oþal (n. A), ~ which one owns = haimoþli (n. Ja)"
lantern (n.),skeim(s) (noun)
Laodicea,Laudeikaia (noun)
lasciviousness,aglaitei (f. N)
last,"1. aftumists (adj. A) 2. spedumists (adj. A) 3. spediza (Comp.), only in: ist so spedeizei airziþa wairsizei þizai frumein = the last error shall be worst than the first 3. aftuma (comp.) (Of two)"
late,seiþus (adj. U)
lately,*niujaba
latrine,*gaggs (m. A)
law,"witoþ (n. A), under the ~ = uf witoda, doctor of the ~ = witodalaisareis (m. Ja), giving of the ~ = witodis garaideins (f. I/O)"
lawful,it is ~ = binah
lawless,witodalaus (adj. A)
lawyer,witodafasteis (m. Ja)
"lay, to",~ down = afhnaiwjan (I i weak)
laying,~ of the hands = analageins (f. I/O)
"lead, to","tiuhan (II abl), ~ up = ustiuhan (II abl), ~ about = bitiuhan (II abl)"
leaf,laufs (m. A) (f turns to b in sing. Gen + dat and all plural forms)
learned,"*uslaisiþs (past-perf), never ~ = unuslaisiþs (past-perf)"
least,1. minnists (adj. Superl.) 2. smalista (suprl.) (Weak)
leather,filleins (adj. A)
leather thong (n.),skaudaraips (*m. A)
"leave, to",~ with = bileiþan (I abl.)
leaven,beist (n. A)
left (adj.),*hleidums (adj. A) (Thomas Lambdin)
left (n.),hleidumei (f. N)
Leiden (n.),*laida (f. O)
length,laggei (f. N)
leper,"þrutsfill (n. A), to have ~ = þrutsfill haban"
leprosy (n.),"þrutsfill (n. A), to have ~ = þrutsfill haban"
lesbian,*samalustjo (f. N)
less,1. mins 2. minniza (Comp.)
lest,ibai sware
"let, to",letan (abl red) ~ down = athahan (III red)
letter,boka (f. O)
Levite (n.),~s = Laiwweiteis
lexicology,*waurdaleisei (f. N)
library,1. *bokarazn (n. A) 2. *bokahus (n. A)
lick,1. *bilaigons (f. I) 2. *bilaigoþus (m. U)
"lick, to",bilaigon (II weak)
lie (n.),galiug (n. A)
"lie, to",1. ligan (V abl) (to lie down somewhere) 2. liugan (II abl) (As in telling a lie)
Liechtenstein,(neol) *Liuhtastains (m. A)
lifestyle (n.),usmet (n. A)
light,1. liuhaþ (n. A) 2. liuhadei (f. N) 3. leihts (adj. A)
"light, to",tandjan (I weak i)
lighthouse,*liuhadakelikn (n. A)
lightning,lauhmuni (f. Jo)
like,1. swa (As in: Just like him) 2. galeiks (adj. A) (As in: It is like/resembles)
"like, to","galeikan (III) + dat (thing which is liked, example: þata galeikaiþ mis = I like it, literally: That pleases me)"
likewise,samaleiko
linen,~ cloth = lein (n. A); fine ~ = bwssaun
linguist,1. *razdaleis (m. A) 2. *razdaleisa (f. O)
linguistics,*razdaleisei (f. N)
list,wiko (f. N)
literacy,*bokaleisei (f. N)
literature,*bokaleisei (f. N)
Lithuania,*Leitawi (f. Jo)
Lithuanian,*Leitauja (m. N)/*Leitaujo (f. N) (person)
liver,*miltja
living (pres. part.),qius (adj. A)
"lock, to","lukan (II abl), (he/she locked = lauk)"
locust,þramstei (f. N)
lodging (n.),saliþwos (f. O) (plural)
Loki (myth.),1. *lauha (m. N) 2. *luka (m. N)
"load, to",*usbriggan (III abl) (digital)
loin,hups (m. I)
"lonely, to become",gaainan (III weak)
long,laggs (adj. A)
longer,no ~ = ni þanaseiþs
longsuffering,usbeisnei (f. N)
"look, to","1. saihwan (V abl) 2. ~ around = ussaihwan (V abl), wlaiton (II weak)"
loop,wruggo (f. N)
loot,*raupa (f. O)
lord,frauja (m. N)
"lose, to (v.)",fraliusan (II abl) + dat
loss,sleiþa (f. O)
lot,"1. a ~ of = filu + gen 2. hlauts (m. A), ~ imma urran = he was chosen by lot"
love,"frijaþwa (f. O), brotherly ~ = broþrulubo (f. N)"
"love, to",frijon (II weak) + acc
Lucifer (n.),auzawandils (m. A)
lump,daigs (m. Noun)
lust,lustus (m. U)
Luxemburg,(neol) *leitilabaurgs (f. Cons)
macaw,*mako (n. N) (based on how Old Tupi macavuana sounds)
Macedonia,Makaidonja (f. O)
Macedonian,Makidons (m. I)
machine,*sarwa (n. Wa)
mad,to be ~ = dwalmon (II weak)
madness,unfrodei (f. N)
magazine,*leihtos bokos (f. O plural)
Magdeburg,(neol) Magaþsbaurgs (f. Cons)
magic,lubjaleisei (f. N)
magical,*lubjaleis (adj. A)
magically,*lubjaleisaba
"magnify, to (v.)",hauhjan (I weak i)
magpie,*ago (f. N)
maimed,gamaiþs (adj. A)
make-up,*smikwa (f. O) (Italian = smeco) (reconstructed by Peter Alexander Kerkhof)
male,1. gumein (n. A) 2. gumakunds (adj. A)
malice,balwawesei (f. N)
man,1. manna (m. Cons) (plural nom + acc = mans) (human in general) 2. guma (m. N) (masculine person) 3. wair (m. A)
mane (n.) (of horse),1. *fahs (n. A) 2. *mana (f. O)
manger,uzeta (m. N)
manifestation,by ~ = bairhtein
mankind,manaseþs (f. I)
manlike,gumeins (adj. A)
manner,"sidus (m. U), ~ of life = usmet (n. A)"
mansion (n.),saliþwos (f. O) (plural)
mark,staks (m. I)
market,maþl (n. A) black ~ = swart (adj. A) maþl (n. A)
marmelade,*akranamimz (noun) miþ sakkara
"marry, to (v.)",liugan (III weak)
marshall,*marhaskalks (m. A)
"marvel, to (v.)",sildaleikjan (I weak i)
marvellous,sildaleiks (adj. A)
Marxism,*Marksismus (m. U)
Marxist,*Marksistus (m. U)
master (n.),frauja (m. N)
matter,doesn’t ~ to me = mis wulþrais nist
maybe,aufto
me,1. (Dat) mis 2. (Acc) mik
mead,*midus (m. U) (loanword in Ancient Greek)
meal,mats (m. I)
"mean, to","1. (to signify, what a word means) wisan, gaskeirjan (I) 2. (to intend to) munnan"
measure,1. mitaþs (f. Cons.) 2. mitadjo (f. N)
"measure, to",mitan (V abl)
meat,mimz (noun)
mechanical,*maikanikisks (adj. A)
mechanics,*maikanika (n. A plural)
media,1. *maidja (n. Ja plural) (based on Latin) 2. *meidja (n. Ja plural) (based on English)
mediator,midumonds (m. Nd)
"meditate, to",sis siþon (II weak)
"meet, to",wiþragaggan (III red) + acc.
member,1. gadaila (m. N) (of group of people) 2. liþus (of body) 3. ~ of the tribe = inkunja (m. N)
memorial,gamunds (f. I)
memory,gamaudeins (f. I/O)
merciful,bleiþs (adj)
"merciful, to be",bleiþjan (I weak i)
mercy,1.bleiþei (f. N) 2. mildiþa (f. O) 3. gableiþeins (f. I/O)
message,waurd (n. A)
messenger,airus (m. U)
metal,1. *maital (n. A) (W. E.) 2. *maitaleins (adj. A)
metallic,*maitaleins (adj. A)
microbiology,*leitilalibainileisei (f. N)
midst,midjis (adj. Ja)
"might, to (v.)",magan (pret-pres) (used as a subjunctive)
mightier (comp.),swinþoza (adj. A)
mightily,in mahtai
mile,rasta (f. O)
milk,miluks (f. Cons)
milky way,*milukswigs (m. A)
millstone,asiluqairnus (f. U)
mind,1. gahugds (f. I) 2. aha (m. N) 3. hugs (m. Noun) (only occurs once) 4. of one ~ = samafraþjis (adj. Ja)
mine,*meina (f. O)
Minecraft,*meinakrafts (f. I)
minister,andbahts (m. A)
ministery,*andbahti (n. Ja)
minstrel,swiglja (m. N)
miracle,fauratani (n. Ja) (as a sign)
mirror,skuggwa (m. N)
miserable,arms (adj. A)
mistaken,to be ~ = sis silbin/silbon fraþjamarzeins wisan
mistletoe,*mistils (m. A)
moccasin,skohs (m. A)
"mock, to",bilaikan (I red)
moderation,anawiljei (f. N)
modest,hrains (adj. I)
moisture,qrammiþa (f. O)
Moldavia,*muldawi (f. Jo)
moon,"mena (m. N), new ~ = fulliþ (noun)"
Monday,*menins dags (m. A)
monkey (n.),*apa (m. N)
month,"menoþs (f. Cons), dat. Pl. = menoþum"
money,1. skatts (m. A)
moneychanger,skattja (m. N)
moral,godei (f. N)
more,"no ~ = ni þanaseiþs (as in no longer, not anymore)"
morning,1. maurgins (m. Noun) 2. uhtwo (f. N)
morning-star,auzawandils (m. A)
mortality,*diwanei (f. N)
mortgage,wadi (n. Ja)
moth,*malo (n. N)
mother,"aiþei (f. N), wife’s ~ = swaihro (f. N)"
Mount of Olives (n.),fairguni (n. Ja) alewjo
mountain,fairguni (n. Ja)
"mourn, to",hiufan (II abl)
mourning,gaunoþus (m. U)
mouth,munþs (m. Noun)
"move, to",1. inwagjan (I weak j) (move someone to do something) 2. to be ~d away = afwagjan (I weak j)
movie,*film (n. A)
mr.,*Frauja (m. N)
mud,*abja (f. N)
mugwort,*bibauts
multimedia,1. *managmaidja (n. Ja plural) (based on Latin) 2. *managmeidja (n. Ja plural) (based on English)
multitude,1. managei (f. N) 2. iumjo (f. N) 3. hiuhma (m. N)
murderer,manamaurþrja (m. N)
murmuring,birodeins (f. I/O)
music (n.),"saggweis (m. I, plur. only)"
mustard (n.),"sinaps (indeclinable, gender unknown, but the Latin form sinapis from which it was borrowed was feminine)"
"muzzle, to",faurmuljan (I i weak) + acc
my,"meins (possessive pronoun, always declined strongly)"
mystery,runa (f. O)
mystical,*garunileiks (adj. A strong)
"nail, to (v.)",ganagljan (I weak i)
naked,naqaþs (adj. A)
nakedness,naqadei (f. N)
name,"namo (n. N) (plural nom = namna, plural dat = namnam)"
napkin,aurali (n. Ja)
Naples,*Napleis (I)
"narrate, to (v.)",spillon (II weak)
narrow,aggwus (adj. U)
nation,þiuda (f. O)
national,*innamarkeis (adj. Ja)
nature,"wists (f. I), by ~ = wistai, wild by ~ = aljakuns (adj. A)"
near,nehwa
necessity,andawizn (f. I)
neck,1. hals (m. Noun) 2. halsagga (m. N)
needle,neþla (f. O)
neglecting,unfreideins (f. I/O)
neighbour,"garazno (f. N) (female neighbour) , garazna (m. N) (male neighbour, in plural both genders)"
neither,nih
nephew,1. *nifa (m. N) (sister’s son) 2. *sauhtar (m. R) (brother’s son) (Reconstructed by Nelson Goering)
nest,sitls (m. A)
"nest, to",*nistjan (I)
Netherlands,*niþralanda (n. A) (plural)
nettle,*nat(il)o (f. N)
network,*ganati (n. Ja)
neuron,*niuraun (n. A)
neutron,*niutraun (n. A)
never (adv.),ni aiw
nevertheless,1. iþ 2. ak (only after negation) 3. akei
next,the ~ day = iftumin daga
new,niujis (adj. Ja)
newness,niujiþa (f. O)
news,spill (n. A)
Nibelungen,*hnibiluggos (m. A) (plural)
nickname,*ananamo (n. N)
"nickname, to",ananamnjan (I i weak)
night,"nahts (f. Cons), (in days and ~s = in dagam jah nahtam, normally dative plural is nahtim)"
nightshirt,*nahtapaida (f. O)
niece,*nifts (f. I) (sister’s daughter) (Reconstructed by Nelson Goering)
Niord (myth.),*Nairþus (m. U)
noble,godakunds (adj. A)
nobody,"ni manna (irr., see manna), ni hwashun (see hwas), ni mannahun (irr., see manna)"
no one,"ni manna (irr., see manna), ni hwashun (see hwas), ni mannahun (irr., see manna)"
nothing,ni waiht (n. A)
nowhere,ni hwar (undeclined)
noise,to make ~ = auhjon (II weak)
nominative,*nominateibus (m. U)
north,"1. *naurþrs (m. A) 2. *naurþra- (adj.), from the ~ = *naurþana, in the ~ = *naurþar, to the ~ = *naurþar"
northwards,*naurþar
Norway,*Naurþrawigs (m. A)
nose,to clear ones ~ = *snutjan
noteable (adj.),gatarhiþs (adj. A)
noteworthy (adj.),gatarhiþs (adj. A)
"nourish up, to",alan (VI abl)
novice,*niujasatiþs (part-perf)
now,nu
number,raþjo (f. N)
nymph,*nwmfe (indeclinable)
oath,aiþs (m. A)
obedience,ufhauseins (f. I/O)
obey (v.),ufhausjan (I weak) (+ dat.)
oblivion,ufarmaudei (f. N)
observation,atwitains (f. I)
"observe, to",witan (III) + dative
occasion (n.),lew (noun) (dat. lewa)
Odin,*Wodans (m. A)
odour,dauns (f. I)
Oegir (myth.),*Ogeis (m. Ja)
"offend, to",afmarzjan (I i weak)
offer (v.),biudan (II abl)
office,"andbahti (n. Ja), ~ of the priest = gudjinassus (m. U)"
official,"court ~ / ~ person = *gardingus (m. U) (Attested in the Visigothic law, leges Visigothorum IX 2,8 & 2,9; XII 1,8)"
offline,*afganatjis (adj. Ja)
often,ufta
oil,alew (n. A)
ointment,salbons (f. I)
old,fairneis (adj. Ja)
oldness,fairniþa (f. O)
olive,alew
olive tree,alewabagms (m. A)
omnibus,*allakarrahago (f. N) (W.E.)
on,(place) ana + dat
once,1. simle (in the sense: once upon a time) 2. ainamma sinþa (one time)
one,"ains (adj. A strong) 2. sums (one of people, so: one man = sums manna)"
online,*anaganatjis (adj. Ja)
only,"1. þatainei (conjunction) (used as in: I only want ..) 2. ainaha (adj. A weak), the ~ son = sunus ainaha"
"open, to","uslukan (II abl), (he/she opened = uslauk)"
opening,usluk (n. A)
openly,andaugjo
operation (n.),waurstw (n. A)
opinion (n.),ragin (n. A)
"oppress, to",anapraggan (VII)
ooze,*abja (f. N)
or,1. þau (choice between two things) 2. aiþþau (choice between multiple things and other uses then in 1)
"ordain, to",satjan (I j weak)
order,"1. tewa (f. O) 2. wiko (f. N), to set in ~ = atgaraihtjan (I i weak)"
"order, to (v.)",raidjan (I weak i) rightly dividing the word of truth = raihtaba raidjandan waurd sunjos
ordered,1. garaiþs (adj. A) 2. *teweis (adj. Ja) (reconstructed by B. P. Johnson)
orderly,gatewiþs (past-perf)
ordinance,garaideins (f. I/O)
origin,ussateins (f. I/O)
ornithology,*fuglaleisei (f. N)
Oslo,*Ansulauha
osteology,*bainaleisei (f. N)
Ostrogoth,*Austraguta (m. N)
Ostrogothic,*Austragutisks (adj. A)
otherwise,aljaleikos (adv)
our,"unsar (posessive pronoun, always strongly declined)"
outer,hindumists (adj. Superl.)
outside,"uta, from the ~ = utana + gen"
oven,auhns (m. Noun)
"overcharge, to",anakaurjan (I weak i)
"overshadow, to",ufarskadwjan (I i weak)
owl,*uggwilo (f. N) (little-uuuu)
ox,1. auhsus (m. U) 2. auhsa (m. N) (only one occurence) 3. stiur (m. A)
page,*laufs (m. A) (f turns to b in sing. Gen + dat and all plural forms)
"paint, to",*faihjan (I weak i)
painting,*faiheins (f. I/O)
pair,gajuk (n. A)
palace,rohsns (f. I)
palm,~ of hand = lofa (noun)
palm-tree (n.),peikabagms (m. A)
pan,*patina (f. N) (W.E.)
pants,*broks (f. Cons.)
paper,*karta (f. O)
parable,gajuko (f. N)
parakeet,*psittakilo (f/n. N) (little parrot)
parchment,maimbrana (m. N)
parent,berusi (m. Ja)
parents,berusjos (m. Ja) (plural)
parrot,*psittakus (m. U)
part,dails (f. I)
"partake, to",fairaihan (pret-pres) + gen.
partiality,wiljahalþei (f. N)
participant,gamainja (m. N)
"participate, to",fairaihan (pret-pres) + gen.
participation,daila (f. O)
party,dulþs (f. I)
paschal feast (n.),paska (f. indeclinable)
"pass, to",usleiþan (I abl)
passover,1. paska (feast) 2. pasxa (feast)
password,(neol) *gamotawaurd (n. A)
pastel,*wai(z)da (f. O)
pastry,*bakeins (f. I/O) (reconstructed by B. P. Johnson)
pasture,winja (f. Jo)
patch (n.),plats (n.) (also piece of cloth)
path,staiga (f. O)
pathology,*siukaleisei (f. N)
patience,usþulains (f. I)
"pay, to",usgildan (V abl)
peace,gawairþi (n. Ja)
peaceable,gawairþeigs (adj. A)
peaceful,gawairþeigs (adj. A)
peacock,*pawa (m. N) (reconstructed by David Salo)
"peck, to (v.)",*pikon (II weak)
pedophilia,*barnalubo (f. N)
pedophile,1. *barnalubja (m. N) (male) 2. *barnalubjo (f. N) (female)
penny,1. assarjus (m. U) 2. kintus (m. U)
people,þiuda (f. O)
pepper,*pipr (n. A) (W. E)
"perceive, to",gaumjan (I) + dat
perfect,1. fullatojis (adj. Ja) 2. (adv) glaggwuba 3. fullawita (m. N)
perhaps,aufto
perilous,sleideis (adj. Ja)
perishing,riurei (f. N)
permission,*andlet (n. A)
permitted,it is ~ = binah
"persecute, to",wrikan (V abl)
persecution,1. wrakja (f. Jo) 2. wraka (f. O) 3. wrekei (f. N)
persecutor,wraks (m. Noun)
person,manna (m. N)
persuasion,gakunds (f. I)
"pervert, to (v.)",inwandjan (I weak i)
Pharisee,Fareisaius (m. U/I)
Phenician,fwnikisks (adj. A)
philosopher,1. handugs (m. A) (declined like an adjective) 2. handuga (f. O) (declined like an adjective)
phoenix,*fonfugls (m. A)
physician,lekeis (m. Ja)
pigeon (n.),ahaks (f. ?)
pillar,sauls (f. I)
pillow,waggareis (m. Ja)
pinnacle,gibla (m. N)
"pipe, to",swiglon (II weak)
piper,1. *swiglonds (m. Nd) 2. *swiglondi (f. Jo)
pitchfork,1. *gabla (f. O) 2. *gabls (m. A)
pitifully,*wainaho
"pity, to",arman (III weak)
"plague, to",balwjan (I weak)
plan,garehsns (f. I)
"plant, to",satjan (I j weak)
pleasant,andanems (adj. A)
"please, to",galeikan (III weak) + dat
pleasure,gabaurjoþus (m. U) in ~ = in azetjam
"pledge, to",gawadjon (II weak)
plough,hoha (m. N)
"plow, to",arjan (III red)
"pluck, to",raupjan (I weak i)
plumage,*fiþrahama (m. N)
poem,*liuþ (n. A)
poet,liuþareis (m. Ja)
poison,*aitr (n. A)
Poland,*Paulaland (n. A)
Polish,1. *paulisks (adj. A)p
police,"*wardjans (m. N, plural of wardja)"
police officer,1. *wardja (m. N) 2. *wardjo (f. N)
political,*paulitikisks (adj. A) (W. E.)
politics,*paulitika (f. O) (W. E.)
pomp,wulþus (m. U)
pope,*papa (m. N)
pork,*sweinamimz (noun)
porter,1. daurawards (m. A) 2. daurawarda (f. O)
Portugal,*Paurtukaljis (m. Ja)
"possess, to",gastaldan (VII)
possessed,one ~ with devils = daimonareis (m. Ja)
possession,gafreideins (f. I/O)
possible (adj.),mahteigs (adj. A)
post,*waurd (n. A) (in forum or blog)
pot,1. *aurkjus (m. U/I) 2. *aurkeis (m. Ja)
potter,kasja (m. N)
"pour, to",giutan (II abl)
power,mahts (f. I)
"praise, to",hazjan (I weak j)
"pray, to","bidjan (V abl irregular), he/she prayed = baþ"
prayer,bida (f. O)
"preach, to",merjan (I i weak)
preacher,merjands (m. Nd)
preaching,mereins (f. I/O)
precept,anabusns (f. I)
"predestinate, to",fauragaraidan (abl red) (he/she predestinated = fauragarairoþ)
preeminence,frumadei (f. N)
preferable,þishun
pregnant woman,"1. inkilþo (f. N), being great with a child, to be pregnant = wisandei inkilþo 2. qiþuhafto (f. N)"
prejudice,faurdomeins (f. O)
preparation,manwiþa (f. O)
prepared,manwus (adj. U)
present,1. anahaimeis (adj. Ja) (at home) 2. andwairþs (adj. A) (something which is happening in the present)
"present, to",atsatjan (I i weak j)
presentation,*atsateins (f. I/O)
"preserve, to (v.)",bairgan (III abl)
presbytery,praizbwtairei (f. N)
presider (liturgies),faurstasseis (m. Ja)
"press, to",anatrimpan (III abl)
pretence,inilo (f. N)
"prevent, to",warjan (I weak j)
price,wairþ (m. A)
pride,hauhhairtei (f. N)
priest,"gudja (m. N), chief ~ = ufargudja (m. N)"
prince,reiks (m. Cons.)
"print, to",*usmeljan (I i weak)
printer,*usmeljo (f. N)
priority,frumadei (f. N)
prison,karkara (f. O)
prisoner,bandja (m. N)
privacy,*sundraleikei (f. N)
private,*sundraleiks (adj. A strong)
privately,sundro
privy,*gaggs (m. A)
prize,sigislaun (n. A)
progress,framgahts (f. I)
problem,aglo (f. N)
profit,bota (f. O)
profitable,bruks (adj. A)
project,*faurawaurpa (f. O) (reconstructed by Tom de Herdt)
promise,gahait (n. A)
proof,kustus (m. U) ( as in a challenge)
"prophesy, to (v.)",praufetjan (I weak i)
prophet,praufetes (m. U/I)
prostitute,kalkjo (f. N)
prostitution,kalkinassus (m. U)
"protect, to (v.)",bairgan (III abl)
proton,*protaun (n.)
proud,hauhþuhts (adj. A)
proud-hearted,hauhhairts (adj. A)
"prove, to (v.)",kiusan (II abl.) + acc.
"provide, to",garedan (abl red) (Garedandans auk goda = Providing for honest things)
"provoke, to",ushaitan (I red)
prudence,inahei (f. N)
Prussian,*prūsa (m. N) (people)
psalm (n.),psalmon (noun) (dat. plur. = psalmom)
psychiatrist,1. *pswkiatreija (m. N) 2. *pswkiatreijo (f. N)
psychiatry,*pswkiatreia (f. O)
psychological,*ahaleis (adj. A)
psychologist,1. *ahaleis (m. A) (declined like an adjective) 2. *ahaleisa (f. O) (declined like an adjective)
psychology,*ahaleisei (f. N)
publican,motareis (m. Ja)
"puff, to",~ up = ufblesan (IV red)
pugnacity,þrasabalþei (f. N)
pull,*tauhts (f. I)
"pull, to",~ down = atdragan (VI abl)
pulling,*tauhts (f. I)
punishment,andabeit (n. A)
pupil (n.),siponeis (m. Ja) (synonyme of disciple)
purity,hrainei (f. N)
purple,paurpuroþs (part-perf)
purpose,muns (m. I)
pursuer (n.),"~ of goals = tilarīds (m. A) (from Gothic inscription on spearhead of Kowel, West Ukraine)"
"push, to",~ aside = afskiuban (II)
"put, to","lagjan (I weak j), ~ on = gahamon (II weak) + dat"
pyjamas,*nahtapaida (f. O)
pyramid,*pwramis
quantum-mechanics,*kwantum-maikanika (n. A plural)
queen,*þiudana (f. O)
question,sokns (f. I)
quick (adj.),qius (adj. A)
"quiet, to be","afdumbnan (IV weak) (qaþ du marein: gaslawai, afdumbn! = Said unto the sea: Peace, be still)"
rabbi,rabbei (undeclined)
race,spaurds (f. Cons.) (Sports)
radio,1. (neol) *luftustibna (f. O) 2. *radio (f. N) (loan)
ragnarökr,*ragine riqis (n. A)
rainbow,*rignabuga (m. N)
"raise, to (v.)",urraisjan (I weak i)
ranked,*teweis (adj. Ja) (reconstructed by B. P. Johnson)
ransom,andabauhts (f. I)
rather,"maizuþ-þan (or rather are known of God, Gal. 4:9 = maizuþ-þan gakunnaidai fram guda)"
rationality,gafraþjei (f. N)
raven,*hrabns (m. A)
ray,*strela (f. O)
"read, to",1. (us)siggwan (III) 2. (Greek) anakunnan (III)
"realize, to (v.)","andþagkjan sik (acc.) (+ gen.) (irr., I weak)"
really,bi sunjai
"reap, to",sneiþan (I abl)
"rear, to (v.)",aljan (I weak)
reason,"gafraþjei (f. N) (rationality, faculty of reason)"
"reason, to (v.)",þagkjan (I weak i)
reasonable,1. andaþahts (adj. A) 2. *andaþahtaba (adv)
"rebuke, to",andbeitan (I abl)
"receive, to","1. niman (IV abl), 2. miþniman (iV abl)"
receiving,andanumts (f. I)
recommendation,anafilh (n. A)
recompense,andalauni (n. Ja)
"recompense, to",fragildan (III abl) + dat
"reconcile, to",~ with = gafriþon (II weak) + dat
reconciliation,gafriþons (f. I)
red,rauþs (adj. A)
"redeem, to (v.)",usbugjan (I weak j)
redemption,uslauseins (f. I/O)
reed,raus (n. A)
refrigerator,*koljo (f. N) (lit. Cooler)
"regard, to",aistan (unspecified verb)
regards,kind ~ = (rec.)
liubostons goleinins,
region,fera (f. O)
"register, to",anameljan (I)
registration,anameleins (f. I)
"reign, to","1. fraujinon (II weak) + dat, ~ as a king = þiudanon (II weak), ~ over = fraujinon/þiudanon ufar + dat."
"reject, to",1. uskiusan (II abl) 2. andspeiwan (I abl)
"rejoice, to",sifan (III weak)
rejoicing (n.),hwoftuli (f. Jo)
"relate, to (v.)",spillon (II weak) (synonyme of to narrate)
related,"*samakuns (adj. I/Ja) (as in related in family, blood, group, by tribe)"
relationship (n.),sibja (f. Jo)
"release, to","fraletan (red abl) (to release a person, release unto someone)"
"remain, to",bileiban (I)
"remember, to",gamunan (pret-pres) + gen.
remembrance,gamaudeins (f. I/O)
remnant,laiba (f. O)
remission,aflageins (f. I/O)
"renew, to",ananiujan (I weak)
"renounce, to (v.)",afqiþan (V strong)
"repay, to",fragildan (III abl) + dat
"repent, to","idreigon (II weak), gaïdreigon (II weak)"
repentance (n.),idreiga (f. O)
reproach,idweit (n. A)
reproof,gasahts (f. I)
reputation (n.),to be of ~
request,bida (f. O)
researcher,*sokareis (m. Ja)
"resist, to (v.)",andstandan (VI abl.)
resistance (n.),*andstass (f. I)
rest,1. gahweilains (f. I) 2. rimis (n. A)
restriction,gaaggwei (f. N)
resurrection,1. usstass (f. I) 2. urrists (f. I) (only once)
"reveal, to",andhuljan (I i weak j)
revelation,andhuleins (f. I/O)
revelling,gabaur (m. A)
"revenge, to",fraweitan (I abl)
"reverence, to (v.)",aistan (verb)
"revile, to",laian (abl red) (they reviled = lailoun)
reward,1. laun (n. A) 2. mizdo (f. N)
"reward, to",usgildan (III abl.)
Reykjavik,*Raukiweika (f. O) (W.E.)
rich,gabigs (adj. A) (rich of = gabigs in + dat)
riches,1. gabei (f. N) 2. faihu (n. U)
right (adj.),*taihsws (adj. A) (Thomas Lambdin)
right (n.),~ side = taihswo (f. N)
righteousness,garaihteins (f. I/O)
rightly (adv.),raihtaba (adv.)
ring,1. figgragulþ (n. A) 2. *hriggs (m. A) (can be used for form of a ring)
ring fight,brakja (f. Jo) (wrestling)
rip,gataura (m. N) (rip of garment)
"rise, to",ushlaupan (II red) (as in a person going to stand)
river,ahwa (f. O)
rivulet (n.),rinno (f. N)
roe-deer,1. *raiha (m. N) 2. *raihs (m. A)
robot,1. *skalks (m. A) 2. *mahtiskalks (m. A)
rock,hallus (m. U)
rocket,*rukka (f. O)
rod,wandus (m. U)
"roll, to",~ away = afwalwjan (I i weak)
Roman (adj.),*Rumonisks (adj. A)
Roman (n.),Rumonus (m. U/I)
Romania (n.),*Dakia (declined as f. O)
Romanian (adj.),*Dakisks (adj. A)
Romanian (n.),*Dakus (m. U/I)
Rome,Ruma (f. O)
roof,hrot (n. A)
room,"heþjo (f. N), large upper ~ = kelikn (n. A) mikilata (adj. A), to have ~ = gamotan (pret-pres)"
rooster,hana (m. N)
root,waurts (f. I)
rope,*sail (n. A)
Rosicrucian,*rausakrukeis (m. Ja)
round,*hriggaleiks (adj. A)
router,rannja (m. N)
row,wiko (f. N)
"rub, to",bnauan (V red)
rule,"garaideins (f. I/O) (as in a rule, a guideline to be followed)"
ruler,fraujinonds (m. Nd)
"run, to","rinnan (III abl), ~ over = ufargiutan (II abl)"
Russia,*Rusaland (n. A)
Russian,1. *Rus (m. A) (citizen) 2. *Rusisks (adj. A)
rust,nidwa (noun)
rye,*rugs (m. I)
sabbat,"sabbatus (m. U), the day after ~ = afarsabbatus (m. U)"
sackcloth,sakkus (m. U)
sacred,weihs (adj. A)
sacrifice,1. hunsl (n. A) 2. sauþs (m. I)
"sacrifice, to",hunsljan (I weak i)
sad,gaurs (adj. A)
safely,arniba
safety,þwastiþa (f. O)
"sail, to",farjan (I j weak)
saint,weiha (m. N)
salt,salt (n. A)
"salt, to",saltan (III red)
"salute, to (v.)",goljan (I weak i)
salutation,goleins (f. I/O)
salvation,1. naseins (f. I/O) 2. ganists (f. I)
same,"sama (adj. A, weak), at the ~ time = samana"
"sanctify, to",gaweihan (III weak)
sand,malma (m. N)
