English,Occidental
inspect,"inspecter (-ion, -or, -oratu), examinar"
inspire,"inspirar (-ation, -ator, -ativ)"
inspirit,"animar, incoragear"
inspissate,inspessat
instability,"ínstabilitá, labilitá"
install,installar (-ation)
instalment,rata. to pay off by instalments: amortisar
instance,example: ocasion; instigation; (legal) instantie; v. citar quam exemple
instant,"n. moment, instante; a. ínmediat; (present month) current"
instantaneous,"subit, instantan"
instantly,"strax, ínmediatmen"
instate,"installar, iniciar (a)"
instead,"in vice de, vice"
instep,arc del pede
instigate,"instigar (-ation, -ator), incitar"
instil,"(a person) inspirar; (a quality) inculcar, docer"
instinct,n. instincte; a. animat per
instinctive,"instinctiv, spontan"
institute,"v. instituer (-tion, -tor, -te), iniciar"
instruct,"instructer (-ion, -or, -iv), informar; ordonar"
instrument,~ (-al); (legal) actu; (means) remedie
insubordinate,"ínsubordinat (-ion), desobedient, renitent"
insufferable,"íntolerabil, detestabil"
insufficient,"ínsuficent (-ie), mancant (-ie)"
insular,insulari (-tá)
insulate,"isolar (-ation, -ator)"
insult,"insulte (-ar), injurie (-ar)"
insuperable,insuperabil
insupportable,ínsuportabil
insurance,assecurantie. ~ premium: premie de assecurantie
insure,assecurar; (a place) reservar
insurgent,"n. insurgente; a. rebellic, insurgent"
insurmountable,"ínsuperabil, ínvictibil"
insurrection,"insurection, revolte"
intact,"integri, intact, sin defecte"
intake,recivement
intangible,íntangibil (-itá)
integer,"lu tot, lu integri, integrale"
integral,a. integri: (math.) integral
integrity,(entirety) integritá; (of character) honestitá
integument,"tegument, covritura"
intellect,"intelectu (-al, -alisme)"
intelligence,inteligentie; information
intelligent,inteligent (-ie)
intelligible,"inteligibil, comprensibil"
intemperance,"ínsobrietá, íntemperantie"
intemperate,"ínmoderat, íntemperant"
intend,intenter
intense,"intens (-itá, -iv)"
intent,"a. tre ocupat per, resoluet. n. intention. to all intents: virtualmen"
intention,~ (-al)
inter,"v. interrar (-ament, -ator), sepulter (-ura), inhumar"
interact,n. interacte (-er)
intercede,"interceder (-ssion, -ssor)"
intercept,"intercepter (-ion, -or), (a blow) parar; obstructer"
interchange,"~ (-ear), cambiar"
intercourse,"(inter)relation, association; coition"
interdict,"interdicter (-ion), prohibir"
interest,"n. interesse (-ar, -ant); (on money) interest"
interfere,"interferer (-entie), intervenir, inmixter se"
interim,n. ínterim
interior,"a. interiori, intern; n. interiore"
interject,"interjecter (-ion), interposir"
interlace,interlacear
interlard,diversificar (per); interpolar
interleave,interfoliar
interline,v. interlinear
interlocutor,conparlante
interloper,intrusor
interlude,"~, intermedie"
intermediary,n. intermediario; mediator
intermediate,intermediari
interment,"interration, inhumation, sepultura"
intermezzo,intermedie; (mus. piece) intermezzo
interminable,ínterminabil
intermingle,intermixter
intermission,"interruption, pause"
intermittent,~ (-ie); v. to be ~: intermitter
intern,internar (-ate)
internal,"intern, interiori"
international,"~ (-itá, -isar)"
internecine,interdestructiv
interpellate,interpellar (-ation)
interpolate,"interpolar, intercalar"
interpose,interposir; (intervene) intervenir
interpret,v. interpreter (-ation); eclarar
interpreter,interprete
interregnum,~
interrogate,"interrogar (-ation, -ator, -ativ), inquisiter"
interrupt,interrupter (-ion)
intersect,"intersecter (-or, -ion)"
interspace,"interspacie, intersticie"
intersperse,intersemar
interstice,intersticie (-al)
intertwine,"interlacear (se), interplecter"
interval,"pause, intervalle"
intervene,intervenir (-tion)
interview,~ (-ar)
interweave,intertexter
intestate,íntestat
intestine,~ (-al); (the small) ileum
intimacy,intimitá
intimate,"a. intim (-a, -o); v. suggester, informar"
intimidate,intimidar (-ation)
into,"in, ad-in"
intolerable,íntolerabil
intolerant,íntolerant (-ie)
intone,intonar (-ation)
intoxicate,intoxicar (-ation); ebriar; (fig.) ravisser
intractable,"íntractabil, índocil, ínconciliabil"
intransitive,íntransitiv
intrepid,"~ (-itá), audaci(osi)"
intricate,"complicat, implicat, involuet, inbrolliat"
intrigue,intriga (-ar); cabale
intrinsic,~
introduce,"introducter (-ion, -iv), presentar"
introit,~
introspection,~
intrude,"intruder (-sion, -siv, -sor)"
intrust,confider; autorisar
intuition,~ . to have an ~: intuiter
inundate,inundar (-ation); superbordar
inure,"habituar, acustomar"
inutility,ínutilitá
invade,"invader (sion, -sor)"
invalid,"a. ínvalid; malad, debil; n. ínvalide; v. ínvalidar, rendir invalid, anullar"
intaluable,"ínestimabil, ínevaluabil, valorosi, preciosi"
invariable,"constant, ínvariabil"
invasion,~
invective,~
inveigh,"invectivar, reprochar"
inveigle,"seducter, lurar"
invent,"inventer (-ion, -or, -iv), imaginar"
inventory,inventarie (-ar)
inverse,"a. inversi, contrari"
inversion,~
invert,inverter
invertebrate,a. ínvertebrat; n. invertebrate
invest,"(clothe) vestir; (mil.) investir (-itura); (money) plazzar, investir"
investigate,"investigar (-ation, -ator), inquester"
investiture,investitura
inveterate,"inradicat, habitual, persistent, cronic"
invidious,"desagreabil, vexatori, ofensiv"
invigorate,invigorar (-ation)
invincible,"ínvictibil, ínsuperabil"
inviolable,ínviolabil (-itá)
invisible,ínvisibil (-itá)
invite,"invitar (-a,tion). inviting: atrativ"
invocation,~
invoice,n. factura (-ar)
invoke,invocar (-ation)
involuntary,ínvoluntari
involution,~
involve,"invelopar, involuer, implicar, necessitar, inbrolliar"
invulnerable,ínvulnerabil (-itá)
inward,"intern, interiori. inwards: ad-intern"
inwardly,"in realitá, in se self"
inwrought,"gravet, ornat per figuras"
iodine,iode
ion,~
iota,~
irascible,iritabil
irate,colerosi
ire,"colere, ira"
iridescent,irisant (-ie)
iris,~; (bot.) iride
irksome,"penosi, fatigant, tedant"
iron,ferre (-in). flat-iron: glattuore; v.(ferro-)glattar
ironclad,"n. curassiero; nave curassat, monitor"
ironical,ironic
ironmonger,"ferragero, quincalliero"
irons,"catenes, ferres"
ironworks,ferréría
irony,ironie
irradiate,"iluminar, iradiar"
irrational,"ínrational, ínrasonabil"
irreclaimable,"ínreclamabil, incorectibil"
irreconciliable,ínconciliabil
irredeemable,ínredemptibil
irreducible,ínreductibil
irrefutable,ínrefutabil
irregular,ínregulari (-tá); desrect
irrevelant,"ne pertinent, sin pertinentie, ínaplicabil, extran"
irreligious,ínreligiosi (-tá)
irremediable,ínremediabil
irreparable,ínreparabil
irrepressible,ínsupressibil
irreproachable,"ínreprochabil, ínblamabil"
irresistible,ínresistibil
irresolute,"ínresolut, hesitant"
irrespective,"índependent (de), sin egardar que"
irresponsible,ínresponsabil (-itá)
irretrievable,"ínrecuperabil, inreparabil"
irreverent,ínreverent (-ie)
irrevocable,ínrevocabil
irrigate,"irigar (-ation, -ator)"
irritate,"iritar (-ation, -abil, -abilitá)"
irrupt,"irupter (-ion), inrupter"
island,insul (-ano)
isle,insul
isolate,"isolar (-ation, -ator)"
issue,"v. (books) editer (-ion); publicar, distribuer, emisser; (come out) provenir; n. (number of periodical) numeró; (offspring) descendentes; (outcome) resultate, fine, exeada; question. at ~: in dispute, in question"
isthmus,istme
it,~
italics,cursiv lítteres. in ~: cursivmen
itch,v. pruritar; n. (med.) scabie
item,"articul, parte, detallie"
iterate,"iterar (-ation), repetir"
itinerant,ambulant
itinerary,"itinerarie, viarium"
ivory,n. ivor (-in)
ivy,hedre
jab at|jab,"*pussar contra (per punta de alquo), picar"
jabber,"v. jargonar, carcarear"
jack,(at cards) valet; (spit) torn-pica; (screw~) cric. jack of all trades: (naut.) flagga de proa. jack-in-the-box: diabolette-in-buxe
jackal,chacale
jackass,ásino
jackdaw,monedul
jacket,jaquette
jade,cavallacha; feminach; (min.) jade
jaded,"fatigat, lassi"
jagged,con inregulari bordes jaguar: ~
jail,"cárcere, prison (ario)"
jailer,cárcer-mastro
jam,"~, confitura; embarasse; v. serrar, presser"
jamb,"pal, pilare"
jangle,"querellar, desacordar; (noise) raslar"
janitor,portario
january,januar
japan,"v. vernissar, laccar"
jar,"(pot) potte, cruche; (sound) dissonantie; (shock) choc, sucusse; v. dissonar; sucusser; cracar"
jargon,"~, linguach"
jasmine,~
jasper,jaspe
jaundice,icterite
jaunt,"excursion, promenada"
jaunty,"gay, levi"
javelin,"lanse, jettlanse, javeline"
jaw,"machuore, maxille; (naut.) furca de gaff. jaws: fauc"
jawbone,osse maxillari
jay,(ornith.) garrul
jealous,"jalusi, invidiosi"
jealousy,jalusie
jeer,"mocar, derider (-sion)"
jejune,"vacui, van, inan"
jelly,gelé
jelly-fish,meduse
jeopardize,"hasardar, riscar, indangerar"
jeremiad,"jeremiada, lamentation"
jerk,"v. sucusser, dar un sucusse; n. sucusse; spasma"
jerkin,camisol
jerry-built,ínsolidmen construetet
jersey,jersé; veste ex lan
jessamine,jasmine
jest,"joca, burla (-ar, -erie, -on)"
jesuit,~ (-ic)
jet,n. spruzza; (gas ~) bec de gas; (min.) gagate. jet-propelled: roquette-propulset jetsam: jettallia
jettison,forjettar
jetty,"n. molo, diga"
jew,"judéo (-ic, -isme, -isar)"
jewel,"juvel (-ero, -erie, -eria)"
jib,"(naut.) ~; v. paver, esser obstinat"
jig,~ (dansa irlandesi)
jilt,exsponder se
jingle,(far) tintinar; n. tintinada
job,"tache, afere; oficie, posto, ocupation, mestiere; v. (stock exchange) agiotar"
jobber,"agiotero, curtagero"
jockey,jokey
jocose,"jocosi, amusant"
jocular,jocaci (-tá)
jocund,"gay, joyosi"
jog,"levi pussa, micri choc; v. (the memory) amemorar; (trot) trottar lentmen"
join,"junter, unir (se), unionar, combinar; (a society) adherer"
joiner,fin-carpentero
joint,"n. juntura, articulation; node; (meat) pezze; a. comun; junt(et). to put out of ~: luxar"
jointed,"(con)juntet, articulat"
joint stock company|joint|stock,"societé anonim, societé actionari"
joist,"trave, subtrave"
joke,"joca (-ar, -on), burla"
jollification,festinada
jolly,gay (-itá)
jolt,"v. sucusser, chocar"
jostle,"v. cud-pussar, turbar"
jot,"iota, minucie; v. (jot down) notar"
journal,"jurnale (-ist, -istic), gazette; (daybook) diarium, contolibre"
journey,viage; v. viagear
joust,torney (-ar)
jovial,~ (-itá)
joy,"joya (-osi), gaudie"
jubilant,"~ (-ie), triumfant"
jubilee,jubilé
judaism,judeisme
judge,"n. judico (-ar, -ament)"
judicial,~
judicious,"judiciosi, prudent"
jug,"cruche; v, stuvar"
juggle,"v. jonglar (-ero, -eríe), prestidigitar"
jugular,jugulari
juice,succ (osi)
july,julí
jumble,"v. mixter, inbrolliar, desordinar; n. mixtallia, confusion"
jump,n. salta (-ar)
junction,"juntion, punctu de union, convergentie"
junctura,"punctu, (con)juntura"
june,junio
jungle,~
junior,"a. minori, plu yun, junior"
juniper,junevre
junk,(naut.) jonke; (lumber) antiquallia
junket,"caseine, coagulate"
junketing,festinada
juridical,juridic
jurisdiction,jurisdition
jurisprudence,jurisprudentie
jurist,~ (-ie)
juror,"jurato, membre del jurie"
jury,jurie
jury-mast,fala mast
just,"~, honest, equi; (barely) apen. just about to: sur li punctu de. just as: sammen quam; adv. precismen"
justice,"justicie, -equita"
justify,"justificar (-ation, -abil)"
justness,justesse
jut out|jut,"v. prominer, projecter"
jute,~
juvenile,"juvenil, yunatri; n. yuno, júven (i-a, -o)"
juxtaposition,~
kale,caul crispat
kaleidoscope,caleidoscop (-ic)
kalender,calendare
kalif,calif
kangaroo,cangurú
kaolin,caolin
keel,kil
keelson,super-kil
keen,"(sharp) acut, penetrant; (eager) entusiastic, ardent"
keep 1.|keep,"(hold) tener, retener, conservar, gardar; (celebrate) festar; (in health) standar, star; ( ~ house) menagear; (remain) restar, maner; (rules) sequer, observar; (support) subtener, suportar, mantener. to keep oneself warm: mantener se calid;"
keep 2.|keep,n. (of castle) turre; prison subterran; (care of) custodie; (livelihood) subsistentie
keep back|keep,retener; (information) tacer pri
keep down|keep,"supresser, subjugar"
keep on|keep,continuar; constantmen (with suitable verb)
keep out|keep,excluder; maner éxter; (of debt) maner líber de debites
keeper,"guardian, curator, gardero, custode; (of hotel) hósped, hotelero"
in keeping with|keeping,conform a
keepsake,memorette
keg,barilette
ken,v. conosser (-entie)
kennel,"can-domette, caniera"
kerb,borde de trottuore
kerchief,"charpe, chal"
kernel,nucleo
kerosene,petroleo
kestrel,astor
ketch,~
ketchup,sauce picant
kettle,bolliere; (large) caldron
kettledrum,timbale
key,clave; (of piano) taste; (mus.) ton. ~ industry; industrie pivotal
keyboard,"tastatura, claviere"
keyhole,clave-fore
keyring,"anelle por claves, portaclaves"
keystone,chef lápide
kick,n. pedcolpe; (of rifle) repulse; v. dar un pedcolpe a; pussar; (horses) regambar; (toss about) stramplar
kid,caprello; (leather) caprocute
kidnap,rapter
kidney,ren
kidney-bean,faseol
kill,"mortar, assassinar; (animals) buchar"
kiln,forn
kilogram,kilogramme
kilometre,~. kilolitre: ~
kin,"a. parent, afin; n. parentité"
kind,"benevolent, clement, afabil, amabil, bon, complesent (-ie); n. sorte, specie"
kindhearted,boncordiosi
kindle,"accender, inflammar"
kindly,a. afabil; (see also kind); adv. he ~ assisted me: il benevolet auxiliar me
kindred,a. parent (-ité)
kinematograph,cínema
king,"rey (-al, -atu, -ia)"
kingfisher,alcion
kink,~ ; (fig.) capricie
kinsfolk,parentité. kinsman: parente
kiosk,~
kipper,harengo fumicat
kirk,eclesie; (building) eclesia
kiss,n. ~ besa (-ar)
kit,"possedallia, proprietá, cosage"
kit-bag,sac-valise
kitchen,"cocin(erí)a. ~ cupboard: scaf de cocina, utensilarium"
kitchen-garden,legumiera
kite,(bird) milve; (paper ~) dracon volant
kith,see kin
kitten,catello
kleptomania,cleptomanie
knack,"arte, tric, artificie"
knacker,cavall-buchero
knapsack,"sac dorsal, tornistre"
knapweed,centaurea
knave,fripon (-eríe); (at cards) valet
knead,plastar (-uore)
knee,genú
knee-breeches,curt culotte
knee-cap,rotul; (med.) patella
kneel,"genuflexer (-ion), agenuar se"
knell,n. funeral clocheada
knickerbockers,culotte
knickers,calson
knick-knack,"bagatelle, ornette"
knife,cultelle. ~ board: slifuore
knight,cavalliero (-esc)
knighthood,cavalieratu
knit,"tricotar (-age, -era, -ería). ~ together: unir, ligar (se). ~ the brows: rugar li fronte"
knitting,tricot
knitting-needle,tricot-agullie
knob,"bosse, tuber; (door~) anse"
knock,"v. frappar. ~ down: abatter, far cader. ~ up: avigilar; exhauster; n. frappa, batte"
knocker,"frappette, frappa-porta"
knoll,tumul
knot,node (-ar); (tuft) toffe
knotty,nodosi; complicat
knout,knut (-ar)
know,"(acquainted with, know people) conosser (-ent, -antie, -or); (know facts) saver (-entie). let me ~: ples avisar me"
knowing,"a. inteligent, astut"
knowledge,"saventie, conossentie; erudition"
knuckle,"articul del fingre, juntura; v. ~ under: ceder, submisser se"
label,"etiquette, afichette, billet"
labial,~
laboratory,"laboratoria, oficina"
laborious,"diligent, laborosi; penosi, fatigant"
labour,"labore (-ar, -ero); (strive) penar; (childbirth) parturition; (toil) strapacie. hard ~: labor punitori. ~ in vain: van pena"
laburnum,citise
labyrinth,labirinte (-in)
lac,lacca
lace,(fabric) dentelle; (for uniform) galon; (shoe-) lace; (trimmings) pasment; v. lacear; ligar
lacehole,oculette
lacerate,"lacerar, mutilar"
lachrymal,~ lacrimal
lack,"manca, beson, índigentie; v. mancar, indiger"
lackadaisical,índiferent; negligent
lackey,lacayo
to be lacking|lacking,* mancar
laconic,~
lacquer,v. laccar; n. lacca
lactation,~
lacteal,"lactin, lactatri"
lad,"yuno, júveno, garson, boy"
ladder,scale
laden,"cargat; (abstract sense) chargeat, opresset"
bill of lading|lading,* certificate de carga
ladle,"coclaron, coclare haustiv"
lady,"dama, seniora"
ladybird,coccinelle
lady day|lady|day,anunciation
ladylike,"de bon manieres, de seniora"
lady-love,amata
lag,"v. lentear, restar retro, tardar, lentardear; n. retardation"
laggard,lentarde
lagoon,lagune
laic,~ (-o)
lair,"lette, tana, refugia"
laidy,"laicos, profanes"
lake,lago
lama,~
lamb,"agnelle (-a); (meat) agnelline, oarne agnellin"
lambent,(flame) serpentant
lame,"a. claudicant; (fig.)ínsatisfatori, debil; v. mutilar, far .claudicant, paralisar"
lament,"v. lamentar (-ation, -abil), deplorar"
lamina,lámine
lamp,lampe. street ~: lanterne. hanging ~: lucerne. head ~: projector
lampblack,fulígine de lamp
lampglass,lamp-cilindre
lampshade,para-luce
lampoon,"pasquin (-ar, -ada); v. satirisar"
lamprey,lamprede
lance,"lanse; (med.) lansette; v. lansettar, inciser"
lancet,lansette
land,"(ground) terre, suol; (country) land, pais; v. debarcar, aterrar, abordar; (unload) decargar"
landau,"~, coche"
landed property|landed|property,domene
landing,"(on stairs) planage. ~ stage: caye, debarcatoria"
landlady,"patrona; hospedessa, albergatora"
landlocked,circumdat de terra
landlord,proprietarie; mastro; (of inn) hósped
landmark,born-petre
landowner,proprietario de terra
landscape,paisage (-ist)
landslide,"crulation terral, avalanche, glissament de terra"
lane,"stradette, via"
language,"lingue, idioma"
languid,~
languish,languir (-ore)
lank,magri; (of hair) íncrispat
lantern,lanterne. magic ~: optic lanterne
lanyard,talrep
lap,gremie; (in a race) ronde; v. (drink) trincar; (plash) clapotar
lapel,~
lapidary,"n. lapidero, lapidario"
lapse,"v. expirar, passar, preterir; (fall back) recader, recidivar; n. errore; (of time) eflution, preterition, curse"
lapwing,vanelle
larboard,bacbord
larceny,furte
larch,larice
lard,grasse porcin; v. lardar
larder,"cámera de provisiones, gardamanjage"
large,grand. at ~: líber
largely,"max sovente, precipue"
largess,donation
lark,alaude; (fun) burla
larva,larve
larynx,laringe (-ite)
lascivious,"lasciv, voluptosi"
lash,"v. (bind) ligar, amarrar; (whip) flagellar; (of horses) to ~ out: regambar; n. knut; colp de flagell; (eyelash) cilie"
lass,"puella, yuna"
lassitude,lassitá
lasso,~
last,"a. ultiia, passat, final; precedent. at ~: in fine. ~ night: yer vesper; n. (boot ~) listell; v. durar"
lasting,"durabil, permanent"
lastly,"in fine, finalmen, ultimmen"
latch,cline (-ar).
latchkey|latch,clave portal
late,"a. tard; (of train etc.) retardat; (former) recent, anteyan; (deceased) morit, decedet; adv. tard"
lately,"ultimmen, recentmen"
latent,~
later,"subsequent, posteriori, plu tard"
lateral,~
latest,novissim
lath,latte. lathwork: lattage
lathe,tornuore
lather,scum (-ear); v. insaponar
latitude,latitúdine; (freedom) libertá
latrine,~
latter,"a. ultim, ti ci"
lattice,trellie (-age)
laud,"laude (-ar,-abil, -ativ)"
laudanum,tinctura de opium
laugh,"v. rider (-sion, -sibil); (to ~ at) derider, mocar; n. rise"
laughing-stock,objecte de rision
laughter,"rision, hilaritá"
launch,lansar; n. (boat) chalupe
laundress,lavera
laundry,lavería
laureate,laureat (-o)
laurel,laure
lava,~
lavatory,"toilette, lavatoria; latrine"
lave,"v. lavar, rinsar"
lavender,lavende
lavish,"a. liberal, generosi, prodigal; v. prodigar"
law,"lege, statute, decrete; (jurisprudence) jure. ~ court: tribunale; v. to go to ~: processuar"
lawful,"legal (-itá), legitim"
lawless,"ínlegal, arbitrari, sin leges"
lawn,"gazon, (material) linon"
lawn-tennis,ténnis
lawsuit,processu
lawyer,"legist, jurist"
lax,~ (-itá)
laxative,a. laxativ; n. laxative
lay 1.|lay,a. laic (-o)
lay 2.|lay,"v. posir, metter. jacentar; (eggs) posir, ovar: (ghost) exorcisar; (tablecloth) covrir li table; (wager) pariar; (~ dust) abatter"
lay down|lay,"statuer, prescrir, definir, decreter"
lay in|lay,(store) aprovisionar
lay on|lay,aplicar; (strike) batter
lay open|lay,"exposir, decovrir, decelar"
lay out|lay,"extender; (money) expender, deborsar; (corpse) apretar"
lay siege to|lay,assediar
lay up|lay,"amassar, aprovisionar"
layer,(hort.) marcotte; (geol.) strate; (de)positor
lay-figure,"marionette, figura"
lazy,"pigri, indolent"
lea,"herbiera, prate"
lead 1.|lead,n. (metal) plumbe; (for pencils) grafite; (naut.) sonde; v. plumbar
lead 2.|lead,"v. (conduct) ducter, guidar, directer; (go in front) preceder; (cause) causar, far; (- off) comensar; (~ astray) seducter; n. duction, direction; precedentie"
leaden,"plumbin, plumbic; inert"
leader,"(con)duetor, chef; articul redactoral"
leaf,"folie (-at, -age, -ette, -osi); (of table etc.) clappe"
league,"n. liga, fédere; (distance) tri milies; v. oonfederar, alliar, ligar"
leak,licc (-ar); v. (to ~ out) divulgar se.
leal,"loyal, fidel"
lean 1.|lean,a. magri; n. carne sin grasse
lean 2.|lean,v. (for support) apoyar; (incline) inclinar (-ation)
leanings,inclination
leap,n. salta (-ar)
leap-frog,cise-cap
leap-year,annu bisextil
learn,"aprender (-sor); reciver information, audir. i ~ that ...: on di me que..."
learned,"erudit, doct, expert, versat (in)"
learner,"scolero, elevo, aprensor; aprentise"
learning,"erudition, saventie"
lease,"v. (to take) luar, arendar; (to let) forluar; n. lua-contrate"
lease-hold,arenda
leash,cupla-bande
least,"a. max micri, minim. the ~ beautiful: li minim bell. at ~: adminim, alminu. not in the ~: in null mode, tot ne. to say the ~: por ne exagerar"
leather,cute (-in). russian ~: yufte
leave,"v. lassar; (abandon) forlassar, abandonar; (depart) departer, forviagear; surtir; (bequeath) legar, testar; (to ~ off) cessar. to take ~ of: dir adío. to ~ behind: poslassar; n. permission, licentie, vacantie, congedie, adío"
leaven,"leven; v. fermentar, levenar"
leavings,rest(age)
lecher,"libertino (-isme), lascivon"
lectern,pupitre
lecture,"discurse, lection; reprimande; v. far un discurse"
ledge,corniche
ledger,"chef-libre, contolibre"
lee,sub li vent; leeway: drive; témpor perdit
leech,sanguisuc
leek,porro
leer,"v. regardachar, regardar maliciosimen; n. oculada lasciv"
lees,sediment
left,a. levul. on the ~: a levul. left-hander: levulon. to be ~ over: restar
leg,gambe; (of garment) gambale
legacy,legate
legal,"~ (-itá, -isar), legitim (-ar)"
legate,legato
legatee,legatario
legation,~
legend,legende (-ari)
legerdemain,"jongleríe, escamotage ~legged: -gambat"
leggings,"gamache, gambiere"
legible,leibil (-itá)
legion,~ (-ario)
legislate,"v. legislator (-ion, -iv, -ura)"
legitimate,"a. legitim (-ar, -itá)"
legume,(bot.) legúmine (-osi)
leisure,ocie (-osi)
leisurely,lent(men)
lemming,~
lemon,"citron, limon"
lemonade,limonade
lend,"prestar; dar, auxiliar"
length,longore. at ~: in fine; detalliatmen
lengthen,"alongar, prolongar"
lengthy,"long; enoyant, tedosi"
lenient,"mild, indulgent, clement (-ie)"
lenitive,"lenitiv, palliativ"
lens,linse; (bi-convex) lupe
lent,carema
lenticular,linsiform
lentil,(bot.) lentille
leonine,leonin
leopard,leoparde
leper,leproso
leprosy,lepra (-osi)
lesion,~
less,adv. minu. more or ~: plu-minu. less and ~: sempre minu. the ~ the better: plu poc plu bon
lessee,"locatario, luator"
lessen,diminuer (se)
lesser,inferiori
lesson,lecion; (eccl.) letion
lest,"pro timore que,: por que ... ne"
let,"(allow) lassar, permisser; (~ alone) lassar; a tacer pri; (lease) forluar; (optative) lass...; (subjunctive) mey. let it came: it mey venir"
let go|let,"liberar, lassar ear; (naut.) filar"
let off|let,"far exploder; (fig.) pardonar, excusar"
let out|let,"(clothes) extender, alargar; (divulge) divulgar; (free) lassar surtir, lassar escapar"
lethal,"mortific, mortatori"
lethargy,letargie (-ic)
letter,lettre (-bux); (of alphabet) líttere. capital ~: majuscul. small ~: minuscul
lettered,"litterat; erudit, doct"
letterpress,textu
letter-rack,"lettriere, porta-lettre"
letters,litteratura. a mn of ~: litterato
lettuce,latug
levee,reception
level,"a. plan, plat; n. nivelle, egalitá; (instr.) nivellette; v. aplatar, egalisar, nivellar; (a gun) apuntar, visar; (a blow) lansar"
level-crossing,nivell-passage
lever,"levere, levette; v. leverar"
leveret,leporello
levitation,levation
levity,"levitá, frivolitá"
levy,"v. imposir; (troops) levar, recrutar"
lewd,"ínchast, libertin, debochant"
lexicon,"lexico (-al, -ografie); dictionarium"
liability,"(propensity) inclination, tendentie; (debt) passive, debite"
liable,"responsabil (-itá), tuchabil; (~ to) inclinat a"
liaison,"intriga de amore, relation amorosi; conexion, cooperation"
liana,liane
liar,"mentitor, mentiard"
libation,~
libel,"v. defamar, calumniar; n. calumnie, defamation"
libeeal,"~ (-isme), generosi (-itá)"
liberate,"liberar (-ation, -ator)"
libertine,"a. libertin (-o, -isme)"
liberty,libertá; privilegie. i take the ~: yo permisse me
library,biblioteca (-ario)
libration,~
libretto,librette
licence,"licentie, libertá, permission, autoritá"
licentiate,~
license,v. autorisar
licentious,"ínfrenat, licentiosi"
lichen,~
lick,"n. lecca (-ar, -on)"
lickspittle,"leccard, adulator"
lid,"(cover) covrette, covricul; (eyelid) palpebre"
lie,"v. jacer, reposar; (tell a ~) mentir; (remain) restar. to ~ in wait: guatar. (naut.) to ~ to: capear. to ~ idle: chomar. to ~ over: star ajornat; n. mentie; (slope) cline"
lief,as ~: preferer. i would as ~: yo vell preferer
liege,a. vassali
in lieu of|lieu,"* vice, in vice de"
lieutenant,leutenante
life,"vive, existentie; vivacitá; aferes homan; (biography) biografie"
life-annuity,rente vive-durant
lifebelt,cintura salvatori
lifeboat,bote salvatori
lifebuoy,boye salvatori
lifeless,"sin vive, ínanimat, mort"
lifelike,natural
lifelong,"vive-durant, por li tot vive"
life-size,grandore natural
lifetime,vive-témpor
lift,"v. levar; (fog) disperser se; n. lift, elevator; auxilie"
ligament,~
ligature,"ligatura; bande, corde ligativ"
light,"n. luce, lúmine; foy; a. (of weight) levi; (easy) facil, lucid, clar, luminosi; (of hair) blond; v. accender, inflammar. to ~ up: iluminar"
light on|light,incontrar; decovrir
lighten,"aclarar; iluminar, lucidar; (ease) aleviar; (lightning) fulminar"
lighter,"(boat) chalande, chalupe; (cigarette ~) accendette"
light-footed,agil (-ita)
lightheaded,deliriosi
lighthearted,"gay, joyosi, de levi anim"
lighthouse,fare
lighting,ilumination; lucement
lightly,"levimen, facilmen"
lightning,"fúlmine, fulguration. ~ conductor: para-fulmine. forked ~: zigzag de fulmine. ~ stroke: fúlmincolpe"
lights,(lungs) pulmones
lightship,fare-nave
ligneous,lignin
lignite,~
like,"a. simil, egal. one ~ that: un tal; adv. quam; v. amar, apreciar; (to wish) voler; n. lu simil, lu egal"
likely,"versimil (-itá), probabil; (believable) credibil"
liken,comparar con
likeness,"similitá; portrete, image"
likewise,anc; (similarly) similmen
liking,"gust, inclination, preferentie, predilection"
lilac,n. lila
lilt,"ritme, melodie, cadentie"
lily,lilie. ~ of the valley: convallaria
limb,membre; tranche ~ (astr.) limbe
limbo,borde del inferne
lime,(fruit) limon; (tree) tilie; (min.) calce; (birdlime) colle
limejuice,succ de citron
limekiln,"calc-forn, calciera"
limelight,"drummond-luce, luce oxihidrogeni; (fig.) public atention"
limestone,calc-petre
limewash,v. calcinar
limit,"límite (-ar, -ation)"
limited company|limited|company,"societé anonim, societé actionari"
limp,"a. lax, flexibil, fatigat; v. claudicar"
limpid,"~ (-itá), diafan"
linden,tilie
line,"n. strec, linea (-ar, -al, -ari); (cord) corde; (row) file, range; (of poetry) verse; (rail) rel; v. (garments) foderar; (line up) alinear (se)"
lineage,genealogie
lineament,"trate, lineament"
linen,toale; (clothes) linage. ~ warehouse: linageria; a. linin
liner,"nave de linea, transoceanico"
ling,(fish) molve; (bot.) erica
linger,"tardar, demorar, lentear; (remain) restar"
lingo,"jargon, linguach"
lingual,~
linguist,"~ (-ic, -ica)"
liniment,"~, frotta-remedie"
lining,"fódere, substoff"
link,"(chain) catenun; caten-anelle; (fig.) bande; v. unir, ligar"
links,(golf) golf-terren
linnet,linotte
linoleum,~
linseed,lin-semes
lint,charpie
lintel,"~, transtrave (de porta)"
lion,"leon (-a, -in, -ello)"
lip,labie (-al)
liquefy,"liquificar, liquidisar; fonder"
liquid,"a. ~ (-ar, -ation); n. liquide, fluide"
liquor,"liquore, alcohol"
liquorice,"glicirize, liquorice"
lips,v. chuchotar; mispronunciar 's' o 'z'
